algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
UCS_e2,23,151,No aplica,360,0.033974409103393555,1
UCS_e2,24,28,No aplica,87,0.006934642791748047,1
UCS_e2,25,67,No aplica,213,0.025276899337768555,1
UCS_e2,26,40,No aplica,60,0.0070078372955322266,1
UCS_e2,27,14,No aplica,28,0.001993417739868164,1
UCS_e2,28,66,No aplica,113,0.01208949089050293,1
UCS_e2,29,43,No aplica,53,0.003986835479736328,1
UCS_e2,30,46,No aplica,159,0.036824941635131836,1
A*_e1,1,30,29,62,0.003990888595581055,1
A*_e1,2,105,104,319,0.015323877334594727,1
A*_e1,3,66,65,111,0.01357126235961914,1
A*_e1,4,45,44,170,0.0040132999420166016,1
A*_e1,5,111,110,201,0.022510051727294922,1
A*_e1,6,59,58,100,0.01177978515625,1
A*_e1,7,68,67,177,0.012678384780883789,1
A*_e1,8,49,48,146,0.0062253475189208984,1
A*_e1,9,60,59,80,0.011821746826171875,1
A*_e1,10,89,88,304,0.017503023147583008,1
A*_e1,11,62,61,160,0.011611461639404297,1
A*_e1,12,74,73,181,0.019148826599121094,1
A*_e1,13,10,9,33,0.0009875297546386719,1
A*_e1,14,83,82,156,0.015096902847290039,1
A*_e1,15,43,42,123,0.007061004638671875,1
A*_e1,16,112,111,181,0.023334503173828125,1
A*_e1,17,90,89,149,0.02670598030090332,1
A*_e1,18,82,81,183,0.015924453735351562,1
A*_e1,19,20,19,26,0.002995014190673828,1
A*_e1,20,91,90,130,0.021203041076660156,1
A*_e1,21,103,102,195,0.025883913040161133,1
A*_e1,22,30,29,39,0.00299072265625,1
A*_e1,23,151,150,360,0.04052233695983887,1
A*_e1,24,28,27,87,0.0025849342346191406,1
A*_e1,25,67,66,213,0.0139007568359375,1
A*_e1,26,40,39,60,0.0049779415130615234,1
A*_e1,27,14,13,28,0.0015249252319335938,1
A*_e1,28,66,65,113,0.010590076446533203,1
A*_e1,29,43,42,53,0.005010128021240234,1
A*_e1,30,46,45,159,0.007541656494140625,1
A*_e2,1,30,29,62,0.0029904842376708984,1
A*_e2,2,105,104,319,0.01688361167907715,1
A*_e2,3,66,65,111,0.01458740234375,1
A*_e2,4,45,44,170,0.00960230827331543,1
A*_e2,5,111,110,201,0.02674698829650879,1
A*_e2,6,59,58,100,0.016765832901000977,1
A*_e2,7,68,67,177,0.014372110366821289,1
A*_e2,8,49,48,146,0.007433891296386719,1
A*_e2,9,60,59,80,0.012969970703125,1
A*_e2,10,89,88,304,0.03739523887634277,1
A*_e2,11,62,61,160,0.01656794548034668,1
A*_e2,12,74,73,181,0.028627872467041016,1
A*_e2,13,10,9,33,0.0,1
A*_e2,14,83,82,156,0.017608642578125,1
A*_e2,15,43,42,123,0.010785818099975586,1
A*_e2,16,112,111,181,0.0243532657623291,1
A*_e2,17,90,89,149,0.028727293014526367,1
A*_e2,18,82,81,183,0.020462512969970703,1
A*_e2,19,20,19,26,0.0019981861114501953,1
A*_e2,20,91,90,130,0.022307157516479492,1
A*_e2,21,103,102,195,0.02947998046875,1
A*_e2,22,30,29,39,0.003989219665527344,1
A*_e2,23,151,150,360,0.05370807647705078,1
A*_e2,24,28,27,87,0.004986286163330078,1
A*_e2,25,67,66,213,0.025135040283203125,1
A*_e2,26,40,39,60,0.005984067916870117,1
A*_e2,27,14,13,28,0.001001596450805664,1
A*_e2,28,66,65,113,0.00952601432800293,1
A*_e2,29,43,42,53,0.005605459213256836,1
A*_e2,30,46,45,159,0.013760089874267578,1
Random,1,0,0,0,0.001996278762817383,0
Random,2,0,0,0,0.0005276203155517578,0
Random,3,0,0,0,0.0024559497833251953,0
Random,4,0,0,0,0.000997781753540039,0
Random,5,0,0,0,0.0009975433349609375,0
Random,6,0,0,0,0.0019948482513427734,0
Random,7,0,0,0,0.0009980201721191406,0
Random,8,0,0,0,0.0019931793212890625,0
Random,9,0,0,0,0.0005273818969726562,0
Random,10,0,0,0,0.0025157928466796875,0
Random,11,0,0,0,0.0009891986846923828,0
Random,12,0,0,0,0.0009951591491699219,0
Random,13,0,0,0,0.001994609832763672,0
Random,14,0,0,0,0.0015254020690917969,0
Random,15,0,0,0,0.001529693603515625,0
Random,16,0,0,0,0.0010523796081542969,0
Random,17,0,0,0,0.0010213851928710938,0
Random,18,0,0,0,0.0019981861114501953,0
Random,19,0,0,0,0.0009694099426269531,0
Random,20,0,0,0,0.0010247230529785156,0
Random,21,0,0,0,0.0019915103912353516,0
Random,22,0,0,0,0.000997304916381836,0
Random,23,0,0,0,0.0015254020690917969,0
Random,24,0,0,0,0.002020120620727539,0
Random,25,0,0,0,0.0009970664978027344,0
Random,26,0,0,0,0.0009975433349609375,0
Random,27,0,0,0,0.001995086669921875,0
Random,28,0,0,0,0.000997781753540039,0
Random,29,0,0,0,0.0009963512420654297,0
Random,30,0,0,0,0.0015909671783447266,0
