algorithm_name,env_n,states_n,cost_e1,cost_e2,time,solution_found
Random,18,0,0,0,0.002017974853515625,0
Random,19,0,0,0,0.0009739398956298828,0
Random,20,0,0,0,0.001994609832763672,0
Random,21,0,0,0,0.0015063285827636719,0
Random,22,0,0,0,0.0010075569152832031,0
Random,23,0,0,0,0.0019941329956054688,0
Random,24,0,0,0,0.0010211467742919922,0
Random,25,0,0,0,0.0009737014770507812,0
Random,26,0,0,0,0.0020186901092529297,0
Random,27,0,0,0,0.0009729862213134766,0
Random,28,0,0,0,0.001994609832763672,0
Random,29,0,0,0,0.0015032291412353516,0
Random,30,0,0,0,0.0010223388671875,0
