Algorithm name,Solution,Iterations,Time
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.010943889617919922
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009997367858886719
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.00895071029663086
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009998798370361328
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009948968887329102
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.010006189346313477
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009973526000976562
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008974075317382812
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008976459503173828
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009974479675292969
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.00897526741027832
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008976936340332031
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009973287582397461
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.00899958610534668
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.008973121643066406
CSP Backtracking,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",3066,0.009001731872558594
